ilan_ilce,ilan_fiyat,net_metrekare,oda_sayısı,bulunduğu_kat,ısıtma_tipi,krediye_uygunluk,banyo_sayısı,tipi,brüt_metrekare,binanın_yaşı,binanın_kat_sayısı,site_içerisinde
Kadıköy,8306700,75,2+1,9.Kat,Merkezi,Krediye Uygun,2,Daire,100,4,15,Hayır
Kadıköy,6700860,125,3+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,135,11-15,4,Hayır
Kadıköy,11952160,90,3+1,Bahçe Katı,Doğalgaz,Krediye Uygun,2,Daire,110,1,5,Hayır
Kadıköy,8306700,86,3+1,7.Kat,Doğalgaz,Krediye Uygun,2,Daire,100,0,8,Hayır
Kadıköy,14204457,144,4+1,11-15,Doğalgaz,Krediye Uygun,2,Daire,171,0,15,Hayır
Kadıköy,8692920,105,3+1,11-15,Merkezi,Krediye Uygun,1,Daire,135,21 Ve Üzeri,15,Evet
Kadıköy,6438880,72,2+1,2.Kat,Merkezi,Krediye Uygun Değil,2,Daire,112,0,30,Evet
Kadıköy,11595100,80,2+1,9.Kat,Doğalgaz,Krediye Uygun,2,Daire,110,5-10,10,Hayır
Kadıköy,15811500,112,3+1,4.Kat,Doğalgaz,Krediye Uygun,2,Daire,150,0,15,Hayır
Kadıköy,13703300,90,3+1,4.Kat,Doğalgaz,Krediye Uygun,2,Daire,130,5-10,10,Hayır
Kadıköy,9137370,80,2+1,2.Kat,Doğalgaz,Krediye Uygun,2,Daire,110,4,9,Hayır
Kadıköy,11214045,100,3+1,8.Kat,Doğalgaz,Krediye Uygun,2,Daire,135,0,15,Hayır
Kadıköy,5266560,120,3+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,130,21 Ve Üzeri,5,Hayır
Kadıköy,6181632,72,2+1,2.Kat,Doğalgaz,Krediye Uygun,2,Daire,96,2,8,Hayır
Kadıköy,13703300,95,3+1,1.Kat,Merkezi,Krediye Uygun,1,Daire,130,5-10,15,Hayır
Kadıköy,9014880,110,3+1,11-15,Merkezi,Krediye Uygun,2,Daire,140,0,15,Hayır
Kadıköy,7117465,92,3+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,115,0,8,Hayır
Kadıköy,9552705,90,3+1,5.Kat,Doğalgaz,Krediye Uygun,2,Daire,115,16-20,10,Hayır
Kadıköy,7069710,70,2+1,4.Kat,Doğalgaz,Krediye Uygun,1,Daire,95,4,8,Hayır
Kadıköy,9806560,130,4+1,1.Kat,Doğalgaz,Krediye Uygun,2,Daire,160,21 Ve Üzeri,9,Hayır
Kadıköy,6117240,78,2+1,2.Kat,Merkezi,Krediye Uygun,1,Daire,95,5-10,10,Hayır
Kadıköy,5795280,70,2+1,6.Kat,Doğalgaz,Krediye Uygun,1,Daire,90,0,9,Hayır
Kadıköy,9235760,70,2+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,85,21 Ve Üzeri,3,Hayır
Kadıköy,12460050,130,3+1,3.Kat,Merkezi,Krediye Uygun,2,Daire,150,0,15,Hayır
Kartal,2711720,76,2+1,Bahçe Katı,Doğalgaz,Krediye Uygun,1,Daire,88,4,6,Hayır
Kartal,3256600,75,2+1,1.Kat,Yerden Isıtma,Krediye Uygun,1,Daire,95,11-15,5,Hayır
Kartal,8484840,150,4+1,5.Kat,Doğalgaz,Krediye Uygun,2,Daire,180,0,5,Hayır
Kartal,4799200,120,3+1,Giriş,Doğalgaz,Krediye Uygun,2,Daire,140,5-10,8,Hayır
Kartal,4867830,9,3+1,Giriş,Doğalgaz,Krediye Uygun,3,Daire,110,5-10,4,Hayır
Kartal,4919040,120,3+1,3.Kat,Merkezi,Krediye Uygun,2,Daire,140,0,15,Evet
Kartal,3513600,80,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,100,0,4,Hayır
Kartal,2804780,70,2+1,11-15,Merkezi,Krediye Uygun Değil,2,Daire,95,0,20,Evet
Kartal,2947404,78,2+1,-2,Doğalgaz,Krediye Uygun,2,Daire,92,0,15,Hayır
Kartal,5270400,140,4+1,Çatı Dubleks,Doğalgaz,Krediye Uygun,3,Daire,150,11-15,5,Hayır
Kartal,3091968,77,2+1,9.Kat,Merkezi,Krediye Uygun,1,Daire,88,0,15,Evet
Kartal,2742400,65,1+1,16-20,Doğalgaz,Krediye Uygun Değil,1,Daire,80,4,30,Evet
Kartal,5766660,150,5+1,11-15,Doğalgaz,Krediye Uygun,2,Daire,180,5-10,10,Hayır
Kartal,4852400,150,3+1,7.Kat,Merkezi,Krediye Uygun,2,Daire,200,5-10,9,Hayır
Kartal,6372432,110,3+1,9.Kat,Merkezi,Krediye Uygun,3,Daire,144,0,20,Evet
Kartal,3203700,80,2+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,100,5-10,10,Evet
Kartal,2346136,52,1+1,11-15,Merkezi,Krediye Uygun,1,Daire,68,5-10,30,Evet
Kartal,3235575,71,2+1,2.Kat,Merkezi,Krediye Uygun Değil,2,Residence,105,0,30,Hayır
Kartal,6324480,160,3+1,Çatı Dubleks,Doğalgaz,Krediye Uygun,1,Daire,180,5-10,6,Hayır
Kartal,6382870,145,3+1,4.Kat,Merkezi,Krediye Uygun,3,Daire,185,5-10,15,Evet
Kartal,5270400,135,3+1,2.Kat,Doğalgaz,Krediye Uygun,2,Daire,150,21 Ve Üzeri,8,Evet
Kartal,7762950,200,5+2,Çatı Dubleks,Doğalgaz,Krediye Uygun,1,Daire,225,0,5,Hayır
Kartal,3162240,70,2+1,4.Kat,Merkezi,Krediye Uygun,1,Daire,90,0,4,Evet
Kartal,3105180,70,2+1,Giriş,Doğalgaz,Krediye Uygun,1,Daire,90,21 Ve Üzeri,4,Hayır
Kartal,27095000,210,4+1,1.Kat,Doğalgaz,Krediye Uygun,2,Villa,250,21 Ve Üzeri,3,Evet
Kartal,4902040,95,3+1,2.Kat,Doğalgaz,Krediye Uygun,2,Daire,110,11-15,5,Hayır
Kartal,6513200,170,3+2,Çatı Dubleks,Doğalgaz,Krediye Uygun,2,Daire,190,5-10,7,Hayır
Kartal,5520320,140,5+2,Çatı Dubleks,Doğalgaz,Krediye Uygun,2,Daire,160,0,4,Hayır
Kartal,4164810,110,3+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,130,5-10,6,Hayır
Kartal,5766660,170,3+1,Çatı Dubleks,Doğalgaz,Krediye Uygun,2,Daire,180,21 Ve Üzeri,3,Hayır
Kartal,2587650,60,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,75,5-10,4,Hayır
Kartal,3513600,85,3+1,Bahçe Katı,Doğalgaz,Krediye Uygun,1,Daire,100,21 Ve Üzeri,6,Hayır
Kartal,4140240,100,2+1,26-30,Merkezi,Krediye Uygun,1,Daire,120,5-10,40,Evet
Kartal,4723840,130,3+1,Çatı Dubleks,Doğalgaz,Krediye Uygun,2,Daire,160,0,3,Hayır
Kartal,6555380,160,3+1,Çatı Katı,Doğalgaz,Krediye Uygun Değil,1,Daire,190,21 Ve Üzeri,3,Hayır
Kartal,3162240,70,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,90,5-10,4,Hayır
Kartal,2952400,80,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,100,0,5,Hayır
Kartal,2986560,76,2+1,4.Kat,Doğalgaz,Krediye Uygun,1,Daire,85,4,4,Hayır
Kartal,4867460,110,3+1,3.Kat,Merkezi,Krediye Uygun,1,Daire,130,5-10,8,Evet
Kartal,4919040,120,3+1,Çatı Dubleks,Doğalgaz,Krediye Uygun,2,Daire,140,5-10,5,Hayır
Kartal,6407400,180,4+1,3.Kat,Merkezi,Krediye Uygun,2,Daire,200,0,15,Evet
Kartal,4140240,100,3+1,Giriş,Doğalgaz,Krediye Uygun Değil,1,Daire,120,21 Ve Üzeri,4,Hayır
Kartal,3154060,110,3+1,7.Kat,Doğalgaz,Krediye Uygun,1,Daire,130,11-15,15,Evet
Kartal,4216320,110,3+1,1.Kat,Doğalgaz,Krediye Uygun,2,Daire,120,0,4,Hayır
Kartal,2810880,60,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,80,5-10,3,Hayır
Kartal,3689280,85,3+1,Giriş,Doğalgaz,Krediye Uygun,1,Daire,105,0,4,Hayır
Kartal,3639300,130,4+1,4.Kat,Doğalgaz,Krediye Uygun,1,Daire,150,5-10,5,Evet
Kartal,4743360,120,3+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,135,5-10,4,Hayır
Kartal,3389650,90,3+1,6.Kat,Doğalgaz,Krediye Uygun,2,Daire,110,0,6,Hayır
Kartal,3247640,90,2+1,9.Kat,Merkezi,Krediye Uygun,1,Daire,110,11-15,10,Evet
Kartal,3524070,100,2+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,110,5-10,10,Hayır
Kartal,2986560,70,2+1,5.Kat,Merkezi,Krediye Uygun,1,Daire,85,0,20,Evet
Kartal,2986560,70,2+1,5.Kat,Merkezi,Krediye Uygun,1,Daire,85,0,20,Evet
Kartal,3443328,75,2+1,4.Kat,Doğalgaz,Krediye Uygun,1,Daire,98,0,6,Hayır
Kartal,3690500,115,3+1,Giriş,Merkezi,Krediye Uygun,1,Daire,125,11-15,4,Evet
Kartal,4493040,105,3+1,2.Kat,Doğalgaz,Krediye Uygun,2,Daire,120,0,8,Hayır
Kartal,2657160,75,3+1,2.Kat,Sobalı,Krediye Uygun Değil,1,Daire,90,21 Ve Üzeri,2,Hayır
Kartal,3337920,80,2+1,4.Kat,Merkezi,Krediye Uygun,1,Daire,95,0,20,Evet
Kartal,5175300,130,3+1,1.Kat,Doğalgaz,Krediye Uygun,2,Daire,150,21 Ve Üzeri,9,Evet
Kartal,5347680,100,3+1,2.Kat,Doğalgaz,Krediye Uygun Değil,1,Daire,120,21 Ve Üzeri,4,Hayır
Kartal,3477690,75,2+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,90,5-10,4,Hayır
Kartal,6121610,80,2+1,6.Kat,Doğalgaz,Krediye Uygun Değil,1,Daire,95,4,7,Hayır
Kartal,3162240,70,2+1,Giriş,Doğalgaz,Krediye Uygun,1,Daire,90,0,5,Hayır
Kartal,3744200,90,3+1,2.Kat,Doğalgaz,Krediye Uygun,2,Daire,100,0,4,Hayır
Kartal,3247640,100,3+1,4.Kat,Doğalgaz,Krediye Uygun,1,Daire,110,0,4,Hayır
Kartal,3247640,90,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,110,21 Ve Üzeri,5,Evet
Kartal,34071040,300,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Bina,320,21 Ve Üzeri,2,Hayır
Kartal,3369780,80,2+1,2.Kat,Doğalgaz,Krediye Uygun Değil,1,Daire,90,21 Ve Üzeri,2,Hayır
Kartal,6210360,160,3+2,Çatı Dubleks,Doğalgaz,Krediye Uygun,2,Daire,180,0,5,Hayır
Kartal,2986560,70,2+1,21-25,Merkezi,Krediye Uygun,1,Daire,85,4,30,Evet
Kartal,4312750,114,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,125,21 Ve Üzeri,5,Hayır
Kartal,3247640,90,2+1,4.Kat,Doğalgaz,Krediye Uygun Değil,1,Daire,110,21 Ve Üzeri,6,Evet
Kartal,2619275,65,2+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,85,0,6,Hayır
Kartal,4485960,110,3+1,6.Kat,Merkezi,Krediye Uygun,2,Daire,120,5-10,9,Evet
Kartal,3689280,95,3+1,Giriş,Doğalgaz,Krediye Uygun,1,Daire,105,11-15,3,Hayır
Kartal,4314100,110,3+2,Çatı Dubleks,Doğalgaz,Krediye Uygun,2,Daire,140,0,5,Hayır
Ataşehir,3928920,110,3+1,-2,Doğalgaz,Krediye Uygun,1,Daire,120,11-15,4,Evet
Ataşehir,3404400,95,2+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,100,21 Ve Üzeri,3,Hayır
Ataşehir,4189105,100,3+1,5.Kat,Doğalgaz,Krediye Uygun,1,Daire,115,21 Ve Üzeri,5,Hayır
Ataşehir,4006970,100,2+1,6.Kat,Doğalgaz,Krediye Uygun,1,Daire,110,21 Ve Üzeri,6,Hayır
Ataşehir,3817800,90,3+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,100,3,7,Hayır
Ataşehir,4917645,115,3+1,4.Kat,Doğalgaz,Krediye Uygun,2,Daire,135,16-20,6,Hayır
Ataşehir,5106600,105,3+2,Çatı Dubleks,Doğalgaz,Krediye Uygun,2,Daire,150,5-10,4,Hayır
Ataşehir,5091840,58,1+1,11-15,Merkezi,Krediye Uygun,1,Daire,65,5-10,15,Evet
Ataşehir,10722998,105,3+1,6.Kat,Merkezi,Krediye Uygun,2,Daire,143,5-10,40,Hayır
Ataşehir,8773362,87,1+1,21-25,Merkezi,Krediye Uygun,1,Daire,117,5-10,30,Evet
Ataşehir,3599328,38,1+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,48,5-10,40,Evet
Ataşehir,11997760,120,4+1,7.Kat,Doğalgaz,Krediye Uygun,3,Daire,160,5-10,7,Evet
Ataşehir,2199670,100,2+1,4.Kat,Doğalgaz,Krediye Uygun,1,Daire,110,21 Ve Üzeri,5,Hayır
Ataşehir,4006970,90,3+1,3.Kat,Doğalgaz,Krediye Uygun,2,Daire,110,5-10,6,Hayır
Ataşehir,5281915,120,3+1,1.Kat,Doğalgaz,Krediye Uygun,2,Daire,145,21 Ve Üzeri,7,Hayır
Ataşehir,3671830,70,2+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,85,2,7,Evet
Ataşehir,5561856,70,1+1,8.Kat,Merkezi,Krediye Uygun,1,Daire,71,16-20,15,Evet
Ataşehir,4553375,110,3+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,125,21 Ve Üzeri,6,Hayır
Ataşehir,2914160,70,2+1,4.Kat,Doğalgaz,Krediye Uygun,1,Daire,80,21 Ve Üzeri,6,Hayır
Ataşehir,3744840,80,2+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,110,21 Ve Üzeri,3,Hayır
Ataşehir,5154030,90,3+1,6.Kat,Merkezi,Krediye Uygun,2,Daire,135,5-10,8,Evet
Ataşehir,3460565,85,2+1,Bahçe Katı,Doğalgaz,Krediye Uygun,1,Daire,95,5-10,3,Hayır
Ataşehir,4371240,110,3+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,120,16-20,4,Hayır
Ataşehir,4735510,115,3+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,130,21 Ve Üzeri,8,Hayır
Ataşehir,4553375,110,3+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,125,21 Ve Üzeri,6,Hayır
Ataşehir,3278430,75,2+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,90,21 Ve Üzeri,6,Hayır
Ataşehir,3533419,83,2+1,6.Kat,Doğalgaz,Krediye Uygun,1,Daire,97,21 Ve Üzeri,8,Hayır
Ataşehir,6192590,155,4+1,Çatı Katı,Doğalgaz,Krediye Uygun,2,Daire,170,0,6,Hayır
Ataşehir,3533419,85,2+1,1.Kat,Doğalgaz,Krediye Uygun,2,Daire,97,0,6,Hayır
Ataşehir,3642700,95,3+1,1.Kat,Doğalgaz,Krediye Uygun,2,Daire,100,0,10,Hayır
Ataşehir,3460565,80,2+1,4.Kat,Doğalgaz,Krediye Uygun,1,Daire,95,21 Ve Üzeri,6,Hayır
Ataşehir,2863350,65,2+1,Bahçe Katı,Doğalgaz,Krediye Uygun,1,Daire,75,11-15,3,Hayır
Ataşehir,4535790,95,3+1,Giriş,Doğalgaz,Krediye Uygun,1,Daire,105,0,4,Hayır
Ataşehir,10722998,105,3+1,4.Kat,Merkezi,Krediye Uygun,2,Daire,143,5-10,7,Evet
Ataşehir,7648572,71,2+1,26-30,Merkezi,Krediye Uygun,2,Daire,102,5-10,40,Evet
Ataşehir,5099048,48,1+1,16-20,Merkezi,Krediye Uygun,1,Daire,68,4,40,Evet
Ataşehir,10648012,124,3+1,Bahçe Katı,Merkezi,Krediye Uygun,2,Daire,142,5-10,7,Evet
Ataşehir,5483520,58,1+1,16-20,Doğalgaz,Krediye Uygun Değil,1,Daire,70,11-15,20,Evet
Ataşehir,3274100,80,2+1,5.Kat,Doğalgaz,Krediye Uygun,1,Daire,100,5-10,5,Hayır
Ataşehir,2821500,90,3+1,3.Kat,Doğalgaz,Krediye Uygun Değil,1,Daire,100,11-15,3,Hayır
Ataşehir,4917645,110,3+1,5.Kat,Doğalgaz,Krediye Uygun,2,Daire,135,21 Ve Üzeri,10,Hayır
Ataşehir,5270156,98,3+1,3.Kat,Doğalgaz,Krediye Uygun,2,Daire,122,5-10,4,Hayır
Ataşehir,7635600,180,3+2,2.Kat,Doğalgaz,Krediye Uygun,2,Daire,200,5-10,2,Hayır
Ataşehir,6047720,110,2+2,3.Kat,Doğalgaz,Krediye Uygun,2,Daire,140,5-10,3,Hayır
Ataşehir,15667200,140,3+1,26-30,Merkezi,Krediye Uygun,2,Daire,200,5-10,30,Evet
Ataşehir,3887820,70,2+1,3.Kat,Doğalgaz,Krediye Uygun,2,Daire,90,11-15,6,Hayır
Ataşehir,3525120,38,1+1,2.Kat,Merkezi,Krediye Uygun,1,Daire,45,5-10,20,Hayır
Ataşehir,5874928,105,3+1,Giriş,Doğalgaz,Krediye Uygun,2,Daire,136,0,3,Hayır
Ataşehir,5183760,100,2+1,Giriş,Doğalgaz,Krediye Uygun,2,Daire,120,0,3,Hayır
Ataşehir,5774520,100,3+1,8.Kat,Doğalgaz,Krediye Uygun,2,Daire,120,11-15,8,Hayır
Ataşehir,6255730,110,3+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,130,11-15,6,Hayır
Ataşehir,3601510,90,3+1,5.Kat,Merkezi,Krediye Uygun,2,Daire,110,1,15,Hayır
Ataşehir,3412642,61,2+1,4.Kat,Doğalgaz,Krediye Uygun,2,Daire,79,4,4,Hayır
Ataşehir,8773362,87,1+1,21-25,Merkezi,Krediye Uygun,1,Residence,117,5-10,30,Evet
Ataşehir,10586620,200,4+2,4.Kat,Doğalgaz,Krediye Uygun,2,Daire,220,11-15,4,Hayır
Ataşehir,3278430,85,2+1,2.Kat,Doğalgaz,Krediye Uygun Değil,1,Daire,90,16-20,3,Hayır
Ataşehir,8225280,83,2+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,105,5-10,4,Hayır
Ataşehir,4583740,135,3+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,140,16-20,4,Hayır
Ataşehir,3096295,70,2+1,5.Kat,Doğalgaz,Krediye Uygun,1,Daire,85,21 Ve Üzeri,5,Hayır
Ataşehir,6255730,120,3+1,4.Kat,Doğalgaz,Krediye Uygun,1,Daire,130,16-20,10,Hayır
Ataşehir,3063960,70,2+1,Giriş,Doğalgaz,Krediye Uygun,1,Daire,90,11-15,6,Hayır
Ataşehir,2553300,60,2+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,75,5-10,4,Hayır
Ataşehir,6496335,110,3+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,135,21 Ve Üzeri,15,Hayır
Ataşehir,7106456,151,1+1,1.Kat,Doğalgaz,Krediye Uygun Değil,Yok,Bina,152,21 Ve Üzeri,3,Hayır
Ataşehir,4199580,90,2+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,110,4,3,Hayır
Ataşehir,18153450,174,1+1,1.Kat,Doğalgaz,Krediye Uygun Değil,Yok,Bina,175,21 Ve Üzeri,2,Hayır
Ataşehir,3584473,100,3+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,113,21 Ve Üzeri,15,Evet
Ataşehir,467649,12,1+1,1.Kat,Sobalı,Krediye Uygun Değil,Yok,Prefabrik,13,2,1,Hayır
